[COT 2021-01-20 05:07:13] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<79d06fd0>, 12, 30) at <582.076172, 149.046860, 5389.347168>
[COT 2021-01-20 05:08:06] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-01-20 05:08:06] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-01-20 05:09:03] 76561198036774377: Spawned Entity Signal Pistol (Flaregun<8fe8b900>, -1, 150) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:10] 76561198036774377: Spawned Entity Flare (Ammo_Flare<29b55150>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:10] 76561198036774377: Spawned Entity Flare (Ammo_Flare<39c5c600>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:11] 76561198036774377: Spawned Entity Flare (Ammo_Flare<39c7b740>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:11] 76561198036774377: Spawned Entity Flare (Ammo_Flare<31378d10>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:12] 76561198036774377: Spawned Entity Flare (Ammo_Flare<3136b1b0>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:13] 76561198036774377: Spawned Entity Flare (Ammo_Flare<306e8230>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:13] 76561198036774377: Spawned Entity Flare (Ammo_Flare<306de8a0>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:14] 76561198036774377: Spawned Entity Flare (Ammo_Flare<3812af20>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:14] 76561198036774377: Spawned Entity Flare (Ammo_Flare<38152b50>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:16] 76561198036774377: Spawned Entity Flare (Ammo_Flare<29b40840>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:16] 76561198036774377: Spawned Entity Flare (Ammo_Flare<29b3b080>, 1, 100) at <584.155396, 142.009384, 5310.307617>
[COT 2021-01-20 05:09:16] 76561198036774377: Spawned Entity Flare (Ammo_Flare<29b4d500>, 1, 100) at <584.155396, 142.009384, 5310.307617>
