[COT 2021-01-22 11:08:13] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-01-22 11:08:13] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-01-22 11:11:24] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<ed3020>, -1, 50) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:24] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<ed2890>, -1, 50) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:26] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<ed37b0>, -1, 50) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:27] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<ed46d0>, -1, 50) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:35] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<13a0b3f0>, -1, 100) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:36] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<13a0bc00>, -1, 100) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:37] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<13a0c410>, -1, 100) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:39] 76561198036774377: Spawned Entity $UNT$M4 Grenade (Ammo_GrenadeM4<452a960>, 1, 100) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:40] 76561198036774377: Spawned Entity $UNT$M4 Grenade (Ammo_GrenadeM4<c226bf80>, 1, 100) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:11:41] 76561198036774377: Spawned Entity $UNT$M4 Grenade (Ammo_GrenadeM4<baff9d20>, 1, 100) at <1263.205444, 148.135910, 6416.721680>
[COT 2021-01-22 11:15:55] 76561198036774377: Spawned Entity Hardigg 2 (hardigg2_Mung_snow<bb15b7a0>, -1, 1.21575e+09) at <1219.224487, 149.936752, 6278.851074>
[COT 2021-01-22 11:17:39] 76561198036774377: Spawned Entity Shawl hood (Clothing<b2be5b60>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:17:42] 76561198036774377: Spawned Entity Shawl hood (Clothing<b2be7eb0>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:17:57] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<bcdbb7e0>, -1, 30) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:10] 76561198036774377: Spawned Entity Working Gloves (WorkingGloves_Black<ac3b85e0>, -1, 50) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:18] 76561198036774377: Spawned Entity Bandana (Bandana_BlackPattern<ac3a4810>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:24] 76561198036774377: Spawned Entity Bandana (BandanaMask_BlackPattern<b62cad30>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:26] 76561198036774377: Spawned Entity Balaclava (Balaclava3Holes_Black<b30cd3e0>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:30] 76561198036774377: Spawned Entity Cargo Pants (CargoPants_Black<b1514c20>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:36] 76561198036774377: Spawned Entity Suit Pants (SlacksPants_Black<bcbcc330>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:45] 76561198036774377: Spawned Entity Assault Boots (MilitaryBoots_Black<bb2e1c40>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:50] 76561198036774377: Spawned Entity Hunter Boots (CombatBoots_Black<baf9aaf0>, -1, 120) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:57] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<b6686290>, -1, 30) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:57] 76561198036774377: Spawned Entity Shirt (Shirt_PlaneBlack<b5c6a1f0>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
[COT 2021-01-22 11:18:57] 76561198036774377: Spawned Entity T-Shirt (TShirt_Black<b2c05ef0>, -1, 100) at <1216.519165, 149.936722, 6281.148438>
