[COT 2021-02-06 23:05:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:38] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:06:24] 76561198036774377: Teleported to position <1748.491699, 449.989990, 14027.447266>
[COT 2021-02-06 23:06:27] 76561198036774377: Left the Free Camera
[COT 2021-02-06 23:07:11] 76561198036774377: Spawned Entity GP5GasMask Black (GP5GasMask<a05852a0>, -1, 100) at <1748.488159, 450.002411, 14027.504883>
[COT 2021-02-06 23:07:16] 76561198036774377: Spawned Entity NBC Black Hood (Clothing<a058c3a0>, -1, 100) at <1748.488159, 450.002411, 14027.504883>
[COT 2021-02-06 23:07:18] 76561198036774377: Spawned Entity NBC Black Jacket (NBCJacketBase<a0584b90>, -1, 100) at <1748.488159, 450.002411, 14027.504883>
[COT 2021-02-06 23:07:20] 76561198036774377: Spawned Entity NBC Black Pant (NBCPantsBase<a058d1c0>, -1, 100) at <1748.488159, 450.002411, 14027.504883>
[COT 2021-02-06 23:07:22] 76561198036774377: Spawned Entity NBC Black Shoes (NBCBootsBase<a05859b0>, -1, 70) at <1748.488159, 450.002411, 14027.504883>
[COT 2021-02-06 23:07:26] 76561198036774377: Spawned Entity NBC Black Gloves (NBCGloves_ColorBase<a058d8d0>, -1, 30) at <1748.488159, 450.002411, 14027.504883>
[COT 2021-02-06 23:08:54] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:08:56] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:10:13] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<a4c27ad0>, -1, 600) at <1640.173462, 451.742462, 14180.532227>
[COT 2021-02-06 23:11:05] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<376cbba0>, 1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:05] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<376a0c40>, 1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:05] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<41dd2b30>, 1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:06] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<397e0ae0>, 1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:06] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<3980d030>, 1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:07] 76561198036774377: Spawned Entity RO 991 Magazine (Mag_STANAG_30Rnd<1158f310>, 1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:10] 76561198036774377: Spawned Entity RO 991 (M4A1_Base<9d84b4c0>, -1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:11] 76561198036774377: Spawned Entity RO 991 (M4A1_Base<9d844570>, -1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:12] 76561198036774377: Spawned Entity RO 991 (M4A1_Base<9d852ca0>, -1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:12] 76561198036774377: Spawned Entity RO 991 (M4A1_Base<9d854650>, -1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:13] 76561198036774377: Spawned Entity RO 991 (M4A1_Base<9d853530>, -1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:11:14] 76561198036774377: Spawned Entity RO 991 (M4A1_Base<9d853dc0>, -1, 100) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:12:38] 76561198036774377: Spawned Entity Universal Suppressor Black (TTC_Universal_Suppressor_BLACK<bb6eb5e0>, -1, 250) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:13:00] 76561198036774377: Spawned Entity Universal Suppressor Black (TTC_Universal_Suppressor_BLACK<bb6ff3b0>, -1, 250) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:13:00] 76561198036774377: Spawned Entity Universal Suppressor Black (TTC_Universal_Suppressor_BLACK<bb701e10>, -1, 250) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:13:00] 76561198036774377: Spawned Entity Universal Suppressor Black (TTC_Universal_Suppressor_BLACK<bb6fd060>, -1, 250) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:13:01] 76561198036774377: Spawned Entity Universal Suppressor Black (TTC_Universal_Suppressor_BLACK<bb6fbb30>, -1, 250) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:13:01] 76561198036774377: Spawned Entity Universal Suppressor Black (TTC_Universal_Suppressor_BLACK<bb6ffac0>, -1, 250) at <1641.838257, 451.742371, 14183.266602>
[COT 2021-02-06 23:13:52] 76561198036774377: Spawned Entity Leupold Mark5 (ItemOptics<a4c11760>, -1, 100) at <1641.521973, 451.742462, 14183.172852>
[COT 2021-02-06 23:13:56] 76561198036774377: Spawned Entity ATOG Scope (ACOGOptic<a4c12680>, -1, 50) at <1641.521973, 451.742462, 14183.172852>
[COT 2021-02-06 23:14:04] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<a4c0ad80>, -1, 30) at <1641.521973, 451.742462, 14183.172852>
[COT 2021-02-06 23:14:10] 76561198036774377: Spawned Entity Backup Iron Sights (BUISOptic<a4c188d0>, -1, 100) at <1641.521973, 451.742462, 14183.172852>
[COT 2021-02-06 23:14:14] 76561198036774377: Spawned Entity RVN Sights (M4_T3NRDSOptic<a4c11ef0>, -1, 50) at <1641.521973, 451.742462, 14183.172852>
[COT 2021-02-06 23:15:25] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<a4c3cf20>, -1, 30) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:25] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<a4c3ed60>, -1, 30) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:26] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<a4c3de40>, -1, 30) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:33] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f3500>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:33] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f82b0>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f97e0>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6fb420>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f3c10>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f4a30>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6fc950>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
[COT 2021-02-06 23:15:34] 76561198036774377: Spawned Entity 9V Battery (Battery9V<bb6f5140>, 50, 20) at <1641.521973, 451.742340, 14183.172852>
