[COT 2021-02-17 19:45:04] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-17 19:45:04] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-17 19:45:26] 76561198036774377: Teleported to position <3714.375244, 402.000000, 5988.363770>
[COT 2021-02-17 21:32:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-17 21:32:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-17 21:33:02] 76561198036774377: Teleported to position <8783.821289, 118.502449, 4931.349609>
[COT 2021-02-17 21:33:27] 76561198036774377: Spawned Entity Medium Tent (MediumTent<5f395010>, -1, 600) at <8768.497070, 120.253212, 4934.853027>
[COT 2021-02-17 21:34:04] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<c67ac6e0>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:06] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<c67a2470>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:09] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<c67b1ba0>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:14] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<c67b22b0>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:16] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<c67ab8c0>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:19] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<c6791100>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:22] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<c6793450>, -1, 30) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:45] 76561198036774377: Spawned Entity Axe (WoodAxe<752d6e90>, -1, 500) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:34:46] 76561198036774377: Spawned Entity Axe (WoodAxe<752d83c0>, -1, 500) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:35:17] 76561198036774377: Spawned Entity Tec9 (CZ61_Base<e750f920>, -1, 200) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:35:17] 76561198036774377: Spawned Entity Tec9 (CZ61_Base<e750a380>, -1, 200) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:35:20] 76561198036774377: Spawned Entity Tec9_mag_50Rnd (Mag_CZ61_20Rnd<67cd6e20>, 1, 100) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:35:21] 76561198036774377: Spawned Entity Tec9_mag_50Rnd (Mag_CZ61_20Rnd<69cf72a0>, 1, 100) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:35:21] 76561198036774377: Spawned Entity Tec9_mag_50Rnd (Mag_CZ61_20Rnd<69cf5560>, 1, 100) at <8767.528320, 120.648300, 4938.386719>
[COT 2021-02-17 21:35:22] 76561198036774377: Spawned Entity Tec9_mag_50Rnd (Mag_CZ61_20Rnd<663343f0>, 1, 100) at <8767.528320, 120.648300, 4938.386719>
