[COT 2021-02-19 00:49:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:41] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:41] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set overcast to 0.39723 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:41] 76561198036774377: Set wind to 9.10803 9.10803 1
[COT 2021-02-19 00:49:52] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:52] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set overcast to 0.06 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:52] 76561198036774377: Set wind to 0.09 0.09 1
[COT 2021-02-19 00:50:38] 76561198036774377: Teleported to position <6017.162598, 221.767227, 13419.393555>
[COT 2021-02-19 00:51:00] 76561198036774377: Spawned Entity Medium Tent (MediumTent<df852050>, -1, 600) at <6009.393066, 222.825668, 13448.856445>
[COT 2021-02-19 00:51:38] 76561198036774377: Spawned Entity Bag of Purple Kush Weed (CP_CannabisBagKush<d0567300>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:38] 76561198036774377: Spawned Entity Bag of Purple Kush Weed (CP_CannabisBagKush<d0564fb0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:39] 76561198036774377: Spawned Entity Bag of Stardawg Weed (CP_CannabisBagStardawg<d05656c0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:39] 76561198036774377: Spawned Entity Bag of Stardawg Weed (CP_CannabisBagStardawg<d0568120>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:40] 76561198036774377: Spawned Entity Bag of Future Weed (CP_CannabisBagFuture<d0568f40>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:40] 76561198036774377: Spawned Entity Bag of Future Weed (CP_CannabisBagFuture<d0568830>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:42] 76561198036774377: Spawned Entity Bag of S1 Hemp (CP_CannabisBagS1<d0567a10>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:42] 76561198036774377: Spawned Entity Bag of S1 Hemp (CP_CannabisBagS1<d0569650>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:43] 76561198036774377: Spawned Entity Bag of Nomad Weed (CP_CannabisBagNomad<d056ced0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:43] 76561198036774377: Spawned Entity Bag of Nomad Weed (CP_CannabisBagNomad<d0572aa0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:44] 76561198036774377: Spawned Entity Bag of Black Frost Weed (CP_CannabisBagBlackFrost<d0573fd0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:44] 76561198036774377: Spawned Entity Bag of Black Frost Weed (CP_CannabisBagBlackFrost<d056c7c0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:46] 76561198036774377: Spawned Entity Bag of Nomad Weed (CP_CannabisBagNomad<d057a2b0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:51:46] 76561198036774377: Spawned Entity Bag of Nomad Weed (CP_CannabisBagNomad<d0574df0>, 1, 30) at <6013.183105, 223.920395, 13458.105469>
[COT 2021-02-19 00:52:39] 76561198036774377: Teleported to position <9458.414063, 202.925812, 12339.534180>
[COT 2021-02-19 00:52:59] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<df85b790>, -1, 600) at <9453.686523, 203.776978, 12346.388672>
