[COT 2021-02-20 13:51:05] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:05] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:05] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:29] 76561198036774377: Teleported to position <8190.520996, 170.956619, 11701.562500>
[COT 2021-02-20 13:51:47] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-20 13:51:53] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<68466480>, -1, 600) at <8187.711914, 172.371353, 11699.058594>
[COT 2021-02-20 13:52:43] 76561198036774377: Spawned Entity AWM (CZ527_Base<c6d18ff0>, -1, 300) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:52:59] 76561198036774377: Spawned Entity AWM 5Rnd Mag (Magazine<7940e880>, 1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:53:07] 76561198036774377: Spawned Entity AWM Magazine (Mag_CZ527_5rnd<63d273a0>, 1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:53:08] 76561198036774377: Spawned Entity AWM Magazine (Mag_CZ527_5rnd<76367820>, 1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:53:08] 76561198036774377: Spawned Entity AWM Magazine (Mag_CZ527_5rnd<78aa10c0>, 1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:53:08] 76561198036774377: Spawned Entity AWM Magazine (Mag_CZ527_5rnd<68d2e260>, 1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:53:39] 76561198036774377: Spawned Entity $UNT$Long Range Scope (LongrangeOptic<684765a0>, -1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:53:44] 76561198036774377: Spawned Entity TWP_LongRangeOptic_Black (HuntingOptic<68476d30>, -1, 100) at <8192.044922, 171.815140, 11697.881836>
[COT 2021-02-20 13:54:23] 76561198036774377: Spawned Entity 25 Ruble Note (ItemBase<68f6f2e0>, 500, 100) at <8191.844727, 171.905197, 11697.588867>
[COT 2021-02-20 13:54:33] 76561198036774377: Spawned Entity leatherwallet (leatherwallet_mung<77c7dbe0>, -1, 750) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:54:51] 76561198036774377: Spawned Entity canned dogfood (SpaghettiCan<6d29fbb0>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:54:51] 76561198036774377: Spawned Entity canned dogfood (SpaghettiCan<6d29a3f0>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:54:51] 76561198036774377: Spawned Entity canned dogfood (SpaghettiCan<6d299ca0>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:54:51] 76561198036774377: Spawned Entity canned dogfood (SpaghettiCan<6d2a0300>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:54:59] 76561198036774377: Spawned Entity Spite Lemonade (SodaCan_ColorBase<6d2a86a0>, 330, 30) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:55:01] 76561198036774377: Spawned Entity Nota Cola (SodaCan_ColorBase<6d2a3630>, 330, 30) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:55:02] 76561198036774377: Spawned Entity Pipsi Cola (SodaCan_ColorBase<6fcd78f0>, 330, 30) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:55:08] 76561198036774377: Spawned Entity Canned Peaches (PeachesCan<6f784b40>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:55:10] 76561198036774377: Spawned Entity Canned Baked Beans (BakedBeansCan<77b32160>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
[COT 2021-02-20 13:55:12] 76561198036774377: Spawned Entity Canned Bacon (TacticalBaconCan<6b772f00>, -1, 100) at <8191.846191, 171.904709, 11697.588867>
