[COT 2021-02-21 19:00:26] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-21 19:00:26] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-21 19:00:26] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-21 19:00:30] 76561198036774377: Teleported to <4070.912598, 324.431244, 8933.420898> [guid=0A6uoHjaO9m3ovYtLHeeTPcw4EpUKRL8AqmU_A5CRac=]
[COT 2021-02-21 19:01:48] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<71821470>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:48] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<71839ff0>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:48] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<71836770>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:48] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<7180c170>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:48] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<736155a0>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:49] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<73621b60>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:53] 76561198036774377: Spawned Entity Defender 110 Front left door UN (Defender110_dver_1_1<7440b6d0>, -1, 500) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:55] 76561198036774377: Spawned Entity Defender 110 Front right door UN (Defender110_dver_2_1<744183a0>, -1, 500) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:56] 76561198036774377: Spawned Entity Defender 110 Rear left door UN (Defender110_dver_1_2<744120c0>, -1, 500) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:01:57] 76561198036774377: Spawned Entity Defender 110 Rear right door UN (Defender110_dver_2_2<74421f00>, -1, 500) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:02:01] 76561198036774377: Spawned Entity Defender 110 Hood UN (Defender110_kapot<79840df0>, -1, 600) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:02:03] 76561198036774377: Spawned Entity Defender 110 Trunk UN (Defender110_bagazhnik<7983c750>, -1, 500) at <4069.723633, 324.429108, 8934.998047>
[COT 2021-02-21 19:02:06] 76561198036774377: Spawned Entity Land Rover Defender 110 UN (CrSk_Land_Rover_Defender_110<e6c7bf00>, -1, 3500) at <4074.255371, 324.424683, 8935.032227>
[COT 2021-02-21 19:03:02] 76561198036774377: Spawned Entity Car Battery (CarBattery<6dee3710>, 50, 200) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:09] 76561198036774377: Spawned Entity Battery Charger (BatteryCharger<6f401490>, -1, 90) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:14] 76561198036774377: Spawned Entity Spark Plug (SparkPlug<71b42690>, -1, 20) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:14] 76561198036774377: Spawned Entity Spark Plug (SparkPlug<d02f9970>, -1, 20) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:20] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<75068090>, -1, 10) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:20] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<64583a20>, -1, 10) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:20] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<79493ec0>, -1, 10) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:20] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<794945d0>, -1, 10) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:27] 76561198036774377: Spawned Entity Car Radiator (CarRadiator<794a5940>, -1, 250) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:27] 76561198036774377: Spawned Entity Car Radiator (CarRadiator<79496920>, -1, 250) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:32] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<6d553a60>, 20000, 300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:33] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<6d5532d0>, 20000, 300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:33] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<6d556f50>, 20000, 300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:34] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<6d5541f0>, 20000, 300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:34] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<6d560e20>, 20000, 300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:35] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<6d55e0c0>, 20000, 300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:44] 76561198036774377: Spawned Entity Barrel (Barrel_Blue<6f4190d0>, 0, 1300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:44] 76561198036774377: Spawned Entity Barrel (Barrel_Blue<6f419820>, 0, 1300) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:49] 76561198036774377: Spawned Entity Sea Chest (SeaChest<6f412a70>, -1, 600) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:03:57] 76561198036774377: Spawned Entity Power Generator (PowerGenerator<6f41efe0>, -1, 200) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:11] 76561198036774377: Spawned Entity Construction Light (Spotlight<600258f0>, -1, 80) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:12] 76561198036774377: Spawned Entity Construction Light (Spotlight<72efb2b0>, -1, 80) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:12] 76561198036774377: Spawned Entity Construction Light (Spotlight<72f2f450>, -1, 80) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:13] 76561198036774377: Spawned Entity Construction Light (Spotlight<74ac06c0>, -1, 80) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:19] 76561198036774377: Spawned Entity Cable Reel (CableReel<79bd39f0>, -1, 90) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:19] 76561198036774377: Spawned Entity Cable Reel (CableReel<79bb7d00>, -1, 90) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:20] 76561198036774377: Spawned Entity Cable Reel (CableReel<79bcc1e0>, -1, 90) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:04:20] 76561198036774377: Spawned Entity Cable Reel (CableReel<60635730>, -1, 90) at <4071.667480, 324.431366, 8936.994141>
[COT 2021-02-21 19:11:13] 76561198036774377: Spawned Entity  (Land_Misc_Well_Pump_Yellow<38b3fb30>, -1, 0) at <4065.183350, 324.472321, 8919.259766>
[COT 2021-02-21 19:14:38] 76561198036774377: Spawned Entity  (Building<352ea1e0>, -1, 0) at <4076.966797, 324.486694, 8889.779297>
[COT 2021-02-21 19:15:32] 76561198036774377: Deleted Entity bldr_misc_timbers3:021313 at <4076.966797, 324.486694, 8889.779297>
[COT 2021-02-21 19:25:35] 76561198036774377: Spawned Entity Rifle walldisplay (gunwalldisplay_mung<794b73c0>, -1, 1.21575e+09) at <4068.719971, 324.429810, 8934.460938>
[COT 2021-02-21 19:25:53] 76561198036774377: Deleted Entity gunwalldisplay_mung:032894 at <4068.719971, 324.454865, 8934.460938>
[COT 2021-02-21 19:26:04] 76561198036774377: Spawned Entity Gunwall display kit (gunwall_metal_kit_mung<63cccb60>, -1, 100) at <4069.902344, 324.428894, 8935.294922>
