[COT 2021-02-24 03:25:51] 76561198036774377: Spawned Entity Land Rover Defender 110 Red (CrSk_Land_Rover_Defender_110<775fe0d0>, -1, 3500) at <3723.148926, 402.000000, 5981.776855>
[COT 2021-02-24 03:25:55] 76561198036774377: Spawned Entity Land Rover Defender 110 (CrSk_Land_Rover_Defender_110<775feae0>, -1, 3500) at <3717.395752, 401.864075, 5974.102051>
[COT 2021-02-24 03:26:11] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<5ef1b620>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:11] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<fc9c0090>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<fe6ed2f0>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<37399ae0>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<fb091d40>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f9667a10>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<fdc75f00>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:12] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<fa6a95b0>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:13] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f7e1fb20>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:13] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f7b12130>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:22] 76561198036774377: Spawned Entity Defender 110 Front left door (Defender110_dver_1_1<f4403820>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:23] 76561198036774377: Spawned Entity Defender 110 Front right door (Defender110_dver_2_1<ea47d790>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:25] 76561198036774377: Spawned Entity Defender 110 Rear left door (Defender110_dver_1_2<e0c5d9d0>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:26] 76561198036774377: Spawned Entity Land Rover Defender 110 Rear right door (Defender110_dver_2_2<f47c26e0>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:29] 76561198036774377: Spawned Entity Defender 110 Front left door UN (Defender110_dver_1_1<5ef07140>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:30] 76561198036774377: Spawned Entity Defender 110 Front right door UN (Defender110_dver_2_1<631bdf90>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:31] 76561198036774377: Spawned Entity Defender 110 Rear left door UN (Defender110_dver_1_2<631b6780>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:33] 76561198036774377: Spawned Entity Defender 110 Rear right door UN (Defender110_dver_2_2<f41185d0>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:36] 76561198036774377: Spawned Entity Defender 110 Hood (Defender110_kapot<f00fc270>, -1, 600) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:37] 76561198036774377: Spawned Entity Defender 110 Trunk (Defender110_bagazhnik<5b6ec880>, -1, 500) at <3720.363770, 402.012451, 5977.780762>
[COT 2021-02-24 03:26:41] 76561198036774377: Spawned Entity Defender 110 Trunk UN (Defender110_bagazhnik<5b6e88f0>, -1, 500) at <3720.370361, 402.318298, 5978.066406>
[COT 2021-02-24 03:26:42] 76561198036774377: Spawned Entity Defender 110 Hood Red (Defender110_kapot<5b6ecf90>, -1, 600) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:26:48] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<9b15ab30>, 20000, 300) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:26:48] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<9b162430>, 20000, 300) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:26:49] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<9b15b2c0>, 20000, 300) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:26:49] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<9b165190>, 20000, 300) at <3720.370361, 402.238800, 5978.352051>
[COT 2021-02-24 03:26:49] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<9b162bc0>, 20000, 300) at <3720.370361, 402.238800, 5978.352051>
