[COT 2021-02-25 22:26:22] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 22:26:22] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 22:26:22] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 22:26:31] 76561198036774377: Teleported to position <3716.823486, 400.768860, 6018.368164>
[COT 2021-02-25 23:26:24] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 23:26:24] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 23:26:24] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-25 23:26:40] 76561198036774377: Teleported to position <13182.625000, 7.168310, 6283.931641>
[COT 2021-02-25 23:27:24] 76561198036774377: Spawned Entity Medium Tent (MediumTent<67fb43b0>, -1, 600) at <13192.752930, 5.970593, 6270.691895>
[COT 2021-02-25 23:28:35] 76561198036774377: Spawned Entity AAC Honey Badger Buttstock (TTC_Buttstock_Honey<7e0dd970>, -1, 200) at <13189.908203, 5.926651, 6270.686035>
[COT 2021-02-25 23:28:38] 76561198036774377: Spawned Entity Honey Badger Suppressor (TTC_Honey_Suppressor<7e0c38c0>, -1, 250) at <13189.908203, 5.926651, 6270.686035>
[COT 2021-02-25 23:28:42] 76561198036774377: Spawned Entity AAC Honey Badger (TTC_AACHoney_Base<f3554210>, -1, 200) at <13189.908203, 5.926651, 6270.686035>
[COT 2021-02-25 23:29:48] 76561198036774377: Spawned Entity 5.56 DMR 100 round Stanag (TTC_DMR_556Stanag_100rnd<6c949f10>, 1, 100) at <13189.908203, 5.927132, 6270.686035>
[COT 2021-02-25 23:30:45] 76561198036774377: Spawned Entity GingerBread Men (PowderedMilk<7cefd8a0>, 500, 100) at <13189.908203, 5.926992, 6270.686035>
[COT 2021-02-25 23:30:45] 76561198036774377: Spawned Entity GingerBread Men (PowderedMilk<7cf03060>, 500, 100) at <13189.908203, 5.926992, 6270.686035>
[COT 2021-02-25 23:30:45] 76561198036774377: Spawned Entity GingerBread Men (PowderedMilk<7ceffd30>, 500, 100) at <13189.908203, 5.926992, 6270.686035>
[COT 2021-02-25 23:30:50] 76561198036774377: Spawned Entity Kukri Gradient (CombatKnife<6a1b7730>, -1, 150) at <13189.908203, 5.926992, 6270.686035>
[COT 2021-02-25 23:30:54] 76561198036774377: Spawned Entity Rose (TWP_Rose<79283ef0>, -1, 100) at <13189.908203, 5.926992, 6270.686035>
[COT 2021-02-25 23:31:08] 76561198036774377: Spawned Entity Surgical Mask (SurgicalMask<80f2a960>, -1, 100) at <13189.908203, 5.926992, 6270.686035>
[COT 2021-02-25 23:32:46] 76561198036774377: Teleported to position <6535.134277, 335.786041, 9277.742188>
[COT 2021-02-25 23:33:04] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<6c7ada40>, -1, 600) at <6555.458008, 336.100769, 9305.117188>
[COT 2021-02-25 23:33:36] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<bfa3ce60>, -1, 30) at <6552.614258, 336.042145, 9302.411133>
[COT 2021-02-25 23:33:37] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<bfa36470>, -1, 30) at <6552.614258, 336.042145, 9302.411133>
[COT 2021-02-25 23:33:39] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<bfa36b80>, -1, 30) at <6552.614258, 336.042145, 9302.411133>
