[COT 2021-02-28 04:08:23] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:09:50] 76561198036774377: Teleported to position <3700.913818, 399.963501, 6037.182129>
[COT 2021-02-28 04:17:29] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<4d710>, 1, 200) at <3697.703369, 402.379822, 5989.782715>
[COT 2021-02-28 04:17:29] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<4e5b0>, 1, 200) at <3697.703369, 402.379822, 5989.782715>
[COT 2021-02-28 04:17:29] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<444d0>, 1, 200) at <3697.703369, 402.379822, 5989.782715>
[COT 2021-02-28 04:17:29] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<fe65aa50>, 1, 200) at <3697.703369, 402.379822, 5989.782715>
[COT 2021-02-28 04:18:29] 76561198036774377: Spawned Entity Glock18Wolf (Glock19_Base<f5cbc360>, -1, 150) at <3695.567383, 402.378082, 5985.357422>
[COT 2021-02-28 04:18:32] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<366639d0>, 1, 150) at <3695.567383, 402.378082, 5985.357422>
[COT 2021-02-28 04:18:32] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<3665f0b0>, 1, 150) at <3695.567383, 402.378082, 5985.357422>
[COT 2021-02-28 04:18:33] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<36664120>, 1, 150) at <3695.567383, 402.378082, 5985.357422>
[COT 2021-02-28 04:18:33] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<3665f800>, 1, 150) at <3695.567383, 402.378082, 5985.357422>
[COT 2021-02-28 04:18:33] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<36661c90>, 1, 150) at <3695.567383, 402.378082, 5985.357422>
[COT 2021-02-28 04:18:33] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<36664870>, 1, 150) at <3695.567383, 402.378082, 5985.357422>
