[COT 2021-03-05 02:23:17] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:21] 76561198036774377: Teleported to position <3309.333984, 252.133560, 12114.132813>
[COT 2021-03-05 02:23:29] 76561198036774377: Teleported to position <3624.141602, 377.381470, 6144.186523>
[COT 2021-03-05 04:27:33] 76561198036774377: Teleported to position <8193.422852, 167.328888, 11850.491211>
[COT 2021-03-05 04:27:57] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<95eed90>, -1, 600) at <8194.407227, 167.592178, 11852.894531>
[COT 2021-03-05 04:28:44] 76561198036774377: Spawned Entity 10 round .308 magazine (TTC_XM2010_10rnd<69f04150>, 1, 100) at <8192.683594, 167.277023, 11852.083008>
[COT 2021-03-05 04:28:44] 76561198036774377: Spawned Entity 10 round .308 magazine (TTC_XM2010_10rnd<69eff0e0>, 1, 100) at <8192.683594, 167.277023, 11852.083008>
[COT 2021-03-05 04:28:44] 76561198036774377: Spawned Entity 10 round .308 magazine (TTC_XM2010_10rnd<69f0dae0>, 1, 100) at <8192.683594, 167.277023, 11852.083008>
[COT 2021-03-05 04:28:45] 76561198036774377: Spawned Entity 10 round .308 magazine (TTC_XM2010_10rnd<69f21550>, 1, 100) at <8192.683594, 167.277023, 11852.083008>
[COT 2021-03-05 04:28:52] 76561198036774377: Spawned Entity M2010 (TTC_XM2010_Base<fdfae310>, -1, 200) at <8192.683594, 167.277023, 11852.083008>
[COT 2021-03-05 04:29:31] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<532c560>, -1, 30) at <8192.683594, 167.277054, 11852.083008>
[COT 2021-03-05 04:29:32] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<5333d70>, -1, 30) at <8192.683594, 167.277054, 11852.083008>
[COT 2021-03-05 04:29:33] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<532cc70>, -1, 30) at <8192.683594, 167.277054, 11852.083008>
[COT 2021-03-05 04:29:34] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<6ab55fd0>, -1, 30) at <8192.683594, 167.277054, 11852.083008>
[COT 2021-03-05 04:29:40] 76561198036774377: Spawned Entity TWP_LongRangeOptic_Black (HuntingOptic<fc12d680>, -1, 100) at <8192.683594, 167.277054, 11852.083008>
[COT 2021-03-05 04:30:16] 76561198036774377: Entered the Free Camera
[COT 2021-03-05 04:30:31] 76561198036774377: Left the Free Camera
[COT 2021-03-05 04:30:59] 76561198036774377: Teleported to position <3596.827637, 232.981903, 14055.075195>
[COT 2021-03-05 04:31:01] 76561198036774377: Teleported to position <3648.704102, 229.954742, 14039.113281>
[COT 2021-03-05 04:32:09] 76561198036774377: Entered the Free Camera
[COT 2021-03-05 04:35:07] 76561198036774377: Teleported to position <3366.914063, 347.594604, 6654.558105>
[COT 2021-03-05 04:35:11] 76561198036774377: Left the Free Camera
[COT 2021-03-05 04:35:15] 76561198036774377: Entered the Free Camera
[COT 2021-03-05 04:36:45] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<4742ea60>, -1, 200) at <3068.531738, 372.446442, 6849.187500>
[COT 2021-03-05 04:36:45] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<47439640>, -1, 200) at <3068.671387, 372.673126, 6849.055664>
[COT 2021-03-05 04:36:45] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<47436760>, -1, 200) at <3068.811035, 372.899780, 6848.924316>
[COT 2021-03-05 04:36:45] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<474386a0>, -1, 200) at <3068.950684, 373.126404, 6848.792480>
[COT 2021-03-05 04:37:23] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<479ff1b0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47a092f0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47a0f3b0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<47a12c20>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:25] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<44eefd20>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<47a0e390>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<44ef2570>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<47a113f0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<44f09850>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<479f68a0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<52065aa0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<47a0fbc0>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<ffb8e950>, -1, 100) at <3097.946045, 372.792389, 6877.013184>
[COT 2021-03-05 04:39:20] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<4743bd50>, -1, 800) at <2933.473877, 369.630127, 6770.649902>
[COT 2021-03-05 04:39:21] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<4743c520>, -1, 800) at <2931.206543, 369.644562, 6772.983398>
[COT 2021-03-05 04:42:17] 76561198036774377: Spawned Entity Rooster (Animal_GallusGallusDomesticus<4743ccf0>, -1, 15) at <2978.870605, 369.526306, 6732.830078>
[COT 2021-03-05 04:45:53] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<b4559cd0>, -1, 100) at <3060.439453, 363.996552, 6582.041016>
