[COT 2021-03-06 04:32:53] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:33:59] 76561198036774377: Teleported to position <2547.349121, 191.654495, 5148.984375>
[COT 2021-03-06 04:34:05] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 04:35:05] 76561198036774377: Left the Free Camera
[COT 2021-03-06 04:35:19] 76561198036774377: Spawned Entity Large Tent (LargeTent<55265e0>, -1, 2000) at <2733.643555, 218.290009, 5371.056641>
[COT 2021-03-06 04:36:42] 76561198036774377: Spawned Entity MVS Facemask - Black (BalaclavaMask_ColorBase<f3861df0>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:36:42] 76561198036774377: Spawned Entity MVS Facemask - Black (BalaclavaMask_ColorBase<f385cd80>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:36:42] 76561198036774377: Spawned Entity MVS Facemask - Black (BalaclavaMask_ColorBase<ff947460>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:36:42] 76561198036774377: Spawned Entity MVS Facemask - Black (BalaclavaMask_ColorBase<ff927480>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:37:41] 76561198036774377: Spawned Entity MVS Armored Helmet - Tan (Mich2001Helmet<8fe3ca0>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:37:42] 76561198036774377: Spawned Entity MVS Armored Helmet - OD (Mich2001Helmet<ce93f70>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:37:45] 76561198036774377: Spawned Entity MVS Armored Helmet - ERDL (Mich2001Helmet<ce8e7b0>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:37:47] 76561198036774377: Spawned Entity MVS Armored Helmet - Black (Mich2001Helmet<f8048f70>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:37:48] 76561198036774377: Spawned Entity MVS Armored Helmet - Snow (Mich2001Helmet<f803a570>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
[COT 2021-03-06 04:37:49] 76561198036774377: Spawned Entity MVS Armored Helmet - Multicam (Mich2001Helmet<4842890>, -1, 100) at <2731.067139, 218.290100, 5373.907715>
