[COT 2021-03-06 07:01:01] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:30] 76561198036774377: Teleported to position <3724.211182, 401.469482, 6011.561523>
[COT 2021-03-06 07:03:19] 76561198036774377: Spawned Entity MVS Compact Pack 2 - Snow (MountainBag_ColorBase<5f046040>, -1, 300) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:04:42] 76561198036774377: Spawned Entity HKCarabine_mag_30Rnd (Mag_STANAG_30Rnd<6fac5f0>, 1, 100) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:42] 76561198036774377: Spawned Entity HKCarabine_mag_30Rnd (Mag_STANAG_30Rnd<6fa7cd0>, 1, 100) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:42] 76561198036774377: Spawned Entity HKCarabine_mag_30Rnd (Mag_STANAG_30Rnd<a9386c0>, 1, 100) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:43] 76561198036774377: Spawned Entity HKCarabine_mag_30Rnd (Mag_STANAG_30Rnd<44c27b0>, 1, 100) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:51] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<89b85e0>, -1, 70) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:51] 76561198036774377: Spawned Entity Universal Flashlight (UniversalLight<89c6140>, -1, 70) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:57] 76561198036774377: Spawned Entity 9V Battery (Battery9V<eb3b4400>, 50, 20) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:57] 76561198036774377: Spawned Entity 9V Battery (Battery9V<e4f485c0>, 50, 20) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:04:57] 76561198036774377: Spawned Entity 9V Battery (Battery9V<e4f5a040>, 50, 20) at <3685.663086, 403.086029, 5992.791504>
[COT 2021-03-06 07:07:29] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<a6648e0>, 100, 20) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:07:29] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<a165e70>, 100, 20) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:07:30] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<ec4e130>, 100, 20) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:08:06] 76561198036774377: Spawned Entity Bandage (BandageDressing<51946c60>, 4, 50) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:08:12] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<51948190>, 1, 100) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:08:18] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<51945020>, -1, 50) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:11:06] 76561198036774377: Spawned Entity SAK (SAK_Mung<519653b0>, -1, 200) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:11:12] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<e8457450>, 12, 30) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:11:17] 76561198036774377: Spawned Entity Chlorine Tablets (PurificationTablets<10c1560>, 10, 30) at <3685.663086, 403.086060, 5992.791504>
[COT 2021-03-06 07:11:23] 76561198036774377: Spawned Entity Multivitamin Pills (VitaminBottle<4dad2f10>, 50, 50) at <3685.663086, 403.086060, 5992.791504>
