[COT 2021-03-07 20:25:55] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:25:55] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:25:55] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:25:57] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:25:58] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:26:10] 76561198036774377: Teleported to position <2856.000244, 237.084137, 5663.018066>
[COT 2021-03-07 20:26:26] 76561198036774377: Teleported to position <3720.623535, 401.341003, 6011.151855>
[COT 2021-03-07 20:36:10] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:36:18] 76561198036774377: Teleported to position <4426.017090, 340.981445, 10416.503906>
[COT 2021-03-07 20:37:12] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:37:13] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:37:13] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:37:13] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:37:13] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:37:14] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:37:14] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-07 20:38:23] 76561198036774377: Teleported to <3012.735840, 369.549286, 6718.901855> [guid=K16cNKAeZIyQw7mfo0yKlNHwGcjK7NkqKtvqkdIKuiI=]
[COT 2021-03-07 20:38:38] 76561198036774377: Entered the Free Camera
[COT 2021-03-07 20:38:44] 76561198036774377: Left the Free Camera
[COT 2021-03-07 20:53:16] 76561198036774377: Teleported [guid=c4-Hl2AQIP2yle_6b2iJaTzih26WJhTTuwZ-egqCFDE=] to <3596.235596, 339.632416, 6855.315918>
[COT 2021-03-07 20:54:46] 76561198036774377: Entered the Free Camera
[COT 2021-03-07 20:55:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2beb8a0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:05] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bee900>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bea880>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bf2980>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bed0d0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bec8c0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bec0b0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:06] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2bef920>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:07] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<c2beb090>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf1960>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf3190>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf0130>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf39a0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf49c0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:09] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf51d0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:09] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bed8e0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:10] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf41b0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:10] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bee0f0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:10] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf7a20>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:11] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf59e0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:11] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf8230>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:11] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf61f0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:11] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bfd2d0>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 20:55:11] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<c2bf7210>, -1, 100) at <3518.029785, 344.727570, 6336.308594>
[COT 2021-03-07 21:00:02] 76561198036774377: Left the Free Camera
[COT 2021-03-07 21:02:48] 76561198036774377: Teleported [guid=0A6uoHjaO9m3ovYtLHeeTPcw4EpUKRL8AqmU_A5CRac=] to <3710.352783, 402.012390, 5994.706055>
