[COT 2021-03-07 22:37:00] 76561198036774377: Entered the Free Camera
[COT 2021-03-07 22:37:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8a30d0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:25] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8a9190>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b0a80>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b22b0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b2ac0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8ab1d0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8ada20>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:26] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b4b00>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8ad210>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b5310>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8ae230>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8c7d60>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b7b60>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:27] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b6330>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8babc0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8bc3f0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8bec40>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b8b80>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b7350>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:28] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8bdc20>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:29] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6c8b9ba0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
[COT 2021-03-07 22:37:29] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc2e4b0>, -1, 100) at <12661.595703, 6.035650, 9841.676758>
