[COT 2021-03-08 02:10:56] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-08 02:10:56] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-08 02:10:56] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-08 02:11:00] 76561198036774377: Entered the Free Camera
[COT 2021-03-08 02:11:20] 76561198036774377: Left the Free Camera
[COT 2021-03-08 02:11:23] 76561198036774377: Entered the Free Camera
[COT 2021-03-08 02:11:23] 76561198036774377: Left the Free Camera
[COT 2021-03-08 02:14:30] 76561198036774377: Spawned Entity Trolley Kart front wheel (Spur_Kart_Wheel<eebb7fe0>, -1, 200) at <5281.185547, 305.817383, 5510.790527>
[COT 2021-03-08 02:14:30] 76561198036774377: Spawned Entity Trolley Kart front wheel (Spur_Kart_Wheel<fb61d310>, -1, 200) at <5281.385742, 305.973999, 5510.807129>
[COT 2021-03-08 02:14:31] 76561198036774377: Spawned Entity Trolley Kart front wheel (Spur_Kart_Wheel<f239e2b0>, -1, 200) at <5281.588867, 306.132660, 5510.824219>
[COT 2021-03-08 02:14:33] 76561198036774377: Spawned Entity Trolley Kart back wheel (Spur_Kart_WheelRear<ee2f8320>, -1, 200) at <5281.794922, 306.293854, 5510.841309>
[COT 2021-03-08 02:14:33] 76561198036774377: Spawned Entity Trolley Kart back wheel (Spur_Kart_WheelRear<f2399500>, -1, 200) at <5282.068848, 306.508240, 5510.864258>
[COT 2021-03-08 02:14:33] 76561198036774377: Spawned Entity Trolley Kart back wheel (Spur_Kart_WheelRear<ee2f8a30>, -1, 200) at <5282.339355, 306.719452, 5510.886230>
[COT 2021-03-08 02:15:11] 76561198036774377: Teleported to position <3728.318359, 401.653687, 6011.406738>
[COT 2021-03-08 02:15:58] 76561198036774377: Spawned Entity Land Rover Defender 110 (CrSk_Land_Rover_Defender_110<63b2e6e0>, -1, 3500) at <3721.632813, 402.000000, 5975.920898>
[COT 2021-03-08 02:16:01] 76561198036774377: Spawned Entity Land Rover Defender 110 Green (CrSk_Land_Rover_Defender_110<63b2b490>, -1, 3500) at <3718.833008, 401.879822, 5974.495605>
[COT 2021-03-08 02:16:06] 76561198036774377: Spawned Entity Land Rover Defender 110 Red (CrSk_Land_Rover_Defender_110<63b2fb00>, -1, 3500) at <3715.499512, 401.921600, 5975.539551>
[COT 2021-03-08 02:16:09] 76561198036774377: Spawned Entity Land Rover Defender 110 Red (CrSk_Land_Rover_Defender_110<63b2a070>, -1, 3500) at <3724.592529, 402.000000, 5979.994629>
