[COT 2021-03-08 02:23:46] 76561198036774377: Teleported [guid=c4-Hl2AQIP2yle_6b2iJaTzih26WJhTTuwZ-egqCFDE=] to <3720.499268, 402.012451, 5986.676758>
[COT 2021-03-08 02:23:46] 76561198036774377: Teleported [guid=0A6uoHjaO9m3ovYtLHeeTPcw4EpUKRL8AqmU_A5CRac=] to <3720.499268, 402.012451, 5986.676758>
[COT 2021-03-08 02:23:46] 76561198036774377: Teleported [guid=4SywsaCwDryeUU2h72qV2RkTyDGHgAzkMRUjZAmzZhs=] to <3720.499268, 402.012451, 5986.676758>
[COT 2021-03-08 02:23:46] 76561198036774377: Teleported [guid=OAdpPkJP2Ps_W7h2ttR1bK23ekHCzrxw0mDT3zqLMdU=] to <3720.499268, 402.012451, 5986.676758>
[COT 2021-03-08 02:24:41] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fcfd9a0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:41] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd058c0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:41] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd05fd0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:41] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fcfe0b0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:41] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd0c2b0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:42] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fcfe7c0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:42] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd10240>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:42] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd17340>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:42] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd08a30>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:42] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd148e0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:42] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd16c30>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:43] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd16520>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:43] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd15700>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
[COT 2021-03-08 02:24:43] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<3fd14ff0>, 500, 100) at <3697.739502, 402.379578, 5988.607910>
