[COT 2021-03-10 01:32:33] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-10 01:32:33] 76561198036774377: Set Freeze To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-10 01:32:33] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-10 01:32:33] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-10 01:32:45] 76561198036774377: Teleported to position <3738.894775, 401.436157, 6019.731445>
[COT 2021-03-10 01:35:22] 76561198036774377: Spawned Entity Land Rover Defender 110 Red (CrSk_Land_Rover_Defender_110<fc899740>, -1, 3500) at <3719.545410, 402.000061, 5986.297363>
[COT 2021-03-10 01:35:27] 76561198036774377: Spawned Entity Defender 110 Rear right door Red (Defender110_dver_2_2<6228f3f0>, -1, 500) at <3718.248779, 402.012390, 5989.095215>
[COT 2021-03-10 01:35:28] 76561198036774377: Spawned Entity Defender 110 Rear left door Red (Defender110_dver_1_2<62289820>, -1, 500) at <3718.248779, 402.012390, 5989.095215>
[COT 2021-03-10 01:35:29] 76561198036774377: Spawned Entity Defender 110 Front right door Red (Defender110_dver_2_1<6228c280>, -1, 500) at <3718.248779, 402.012390, 5989.095215>
[COT 2021-03-10 01:35:30] 76561198036774377: Spawned Entity Defender 110 Front left door Red (Defender110_dver_1_1<6228c990>, -1, 500) at <3718.248779, 402.012390, 5989.095215>
[COT 2021-03-10 01:35:35] 76561198036774377: Spawned Entity Defender 110 Hood Red (Defender110_kapot<6527acf0>, -1, 600) at <3718.248779, 402.012390, 5989.095215>
[COT 2021-03-10 01:35:36] 76561198036774377: Spawned Entity Defender 110 Trunk Red (Defender110_bagazhnik<65286490>, -1, 500) at <3718.248779, 402.012390, 5989.095215>
[COT 2021-03-10 01:35:41] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<7ce20bf0>, -1, 600) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:41] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<7ce48080>, -1, 600) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:42] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<7ce48790>, -1, 600) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:42] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<72f7d090>, -1, 600) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:42] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<72f97f60>, -1, 600) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:53] 76561198036774377: Spawned Entity Car Radiator (CarRadiator<72436e20>, -1, 250) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:59] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<7245aa30>, -1, 10) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:35:59] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<709c64c0>, -1, 10) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:05] 76561198036774377: Spawned Entity Car Battery (CarBattery<709b4330>, 50, 200) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:19] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<712855d0>, 20000, 300) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:19] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<712846b0>, 20000, 300) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:20] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<76ebe3d0>, 20000, 300) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:20] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<7bf729a0>, 20000, 300) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:20] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<54d71560>, 20000, 300) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:26] 76561198036774377: Spawned Entity Sea Chest (SeaChest<7b8ebd90>, -1, 600) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:32] 76561198036774377: Spawned Entity Hardigg 2 (hardigg2_Mung_snow<7bb8dde0>, -1, 1.21575e+09) at <3718.248779, 402.188873, 5988.809570>
[COT 2021-03-10 01:36:39] 76561198036774377: Spawned Entity Barrel (Barrel_Red<70dd5910>, 0, 1300) at <3718.231445, 402.844635, 5988.755859>
[COT 2021-03-10 01:36:39] 76561198036774377: Spawned Entity Barrel (Barrel_Red<70dc8500>, 0, 1300) at <3718.230957, 402.844391, 5988.755371>
[COT 2021-03-10 01:53:26] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
