[COT 2021-03-12 02:06:07] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:06:07] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:06:07] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:18:33] 76561198036774377: Teleported to position <1018.734070, 128.102905, 6089.503906>
[COT 2021-03-12 02:18:45] 76561198036774377: Entered the Free Camera
[COT 2021-03-12 02:18:54] 76561198036774377: Left the Free Camera
[COT 2021-03-12 02:19:09] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<e38e7140>, -1, 600) at <1035.422852, 136.160568, 6056.279785>
[COT 2021-03-12 02:19:40] 76561198036774377: Entered the Free Camera
[COT 2021-03-12 02:19:48] 76561198036774377: Left the Free Camera
[COT 2021-03-12 02:22:24] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:22:24] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:22:24] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-12 02:22:42] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00b3b30>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:43] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00b2600>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:43] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00ad850>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:43] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00b5770>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:43] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00adf60>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:43] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00b5e80>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:44] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00ae670>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:44] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00b6590>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:44] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00b6ca0>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:44] 76561198036774377: Spawned Entity Bandage (BandageDressing<d00af490>, 4, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:50] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<7ba4f9e0>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:50] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<753b2330>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:50] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<753ca6c0>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:50] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<753d1bc0>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:50] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<647539e0>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:51] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<64754880>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:51] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<6472e240>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:51] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<7447c7c0>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:51] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<744bb8e0>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:51] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<7708e040>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:51] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<77063f80>, 12, 30) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:59] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b73b0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:59] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00afba0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:59] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b7ac0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:22:59] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b02b0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:00] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b81d0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:00] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b88e0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:00] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b8ff0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:00] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b9e10>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:00] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00b9700>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:01] 76561198036774377: Spawned Entity Blood Collection Kit (BloodBagEmpty<d00ba520>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:04] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00bac30>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:04] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00bb340>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:04] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00bba50>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:05] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00bc160>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:05] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00bdda0>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:05] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00c1d30>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:05] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00bf9e0>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:05] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00be4b0>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:05] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00c3970>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:06] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00c2440>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:06] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00c4080>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:06] 76561198036774377: Spawned Entity Blood Test Kit (BloodTestKit<d00c2b50>, -1, 15) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:17] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00c3260>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:17] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00bc870>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:17] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00c4790>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:17] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00bcf80>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:18] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00c0f10>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:18] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00bd690>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:18] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00bebc0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:18] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00bf2d0>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:18] 76561198036774377: Spawned Entity IV Start Kit (StartKitIV<d00c0800>, -1, 20) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:26] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<d00c1620>, 1, 100) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:27] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<d0085cb0>, 1, 100) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:27] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<d00863c0>, 1, 100) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:32] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<d00855a0>, -1, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:32] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<d0089c40>, -1, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:33] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<d0088000>, -1, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:33] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<d0084780>, -1, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:33] 76561198036774377: Spawned Entity Morphine Auto-Injector (Morphine<d0089530>, -1, 50) at <1054.703003, 141.876236, 6067.314453>
[COT 2021-03-12 02:23:38] 76561198036774377: Spawned Entity Epinephrine Auto-Injector (Epinephrine<d0088710>, -1, 50) at <1054.703003, 141.876236, 6067.314453>
