[COT 2021-03-13 21:17:04] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-13 21:17:04] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-13 21:17:04] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-13 21:17:17] 76561198036774377: Teleported to position <3416.683105, 349.436615, 10821.951172>
[COT 2021-03-13 21:17:25] 76561198036774377: Entered the Free Camera
[COT 2021-03-13 21:18:14] 76561198036774377: Left the Free Camera
[COT 2021-03-13 21:21:53] 76561198036774377: Teleported to position <508.328247, 421.720001, 11103.827148>
[COT 2021-03-13 21:21:58] 76561198036774377: Entered the Free Camera
[COT 2021-03-13 21:22:10] 76561198036774377: Left the Free Camera
[COT 2021-03-13 21:22:34] 76561198036774377: Spawned Entity Tier 3 Wall Kit (BBP_T3_WallKit<7950d500>, -1, 100) at <459.308899, 421.771118, 11130.817383>
[COT 2021-03-13 21:22:34] 76561198036774377: Spawned Entity Tier 3 Wall Kit (BBP_T3_WallKit<79524440>, -1, 100) at <459.308899, 421.771118, 11130.817383>
[COT 2021-03-13 21:23:08] 76561198036774377: Spawned Entity Nails (Nail<76301570>, 70, 80) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:09] 76561198036774377: Spawned Entity Nails (Nail<762fb9a0>, 70, 80) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:18] 76561198036774377: Spawned Entity Plank (WoodenPlank<73cbef10>, 10, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:18] 76561198036774377: Spawned Entity Plank (WoodenPlank<73cc0440>, 10, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:26] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<6f74b5c0>, 10, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:26] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<b810f200>, 10, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:32] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<b81146c0>, 1, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:33] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<5584b600>, 1, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:33] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<558574b0>, 1, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:33] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<74472610>, 1, 100) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:42] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<5c165110>, 1, 400) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:43] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<72dc17f0>, 1, 400) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:43] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<75f69730>, 1, 400) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:43] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<7b260bf0>, 1, 400) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:43] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<771ac170>, 1, 400) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:44] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<7d5a6ae0>, 1, 400) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:55] 76561198036774377: Spawned Entity Wooden log (WoodenLog<9b21aac0>, 1, 500) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:55] 76561198036774377: Spawned Entity Wooden log (WoodenLog<80e7c8a0>, 1, 500) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:55] 76561198036774377: Spawned Entity Wooden log (WoodenLog<7aba6410>, 1, 500) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:23:56] 76561198036774377: Spawned Entity Wooden log (WoodenLog<7f184c30>, 1, 500) at <457.963257, 421.771118, 11129.290039>
[COT 2021-03-13 21:24:50] 76561198036774377: Spawned Entity Wooden log (WoodenLog<7aba6410>, 1, 500) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:24:51] 76561198036774377: Spawned Entity Wooden log (WoodenLog<7abbb000>, 1, 500) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:24:51] 76561198036774377: Spawned Entity Wooden log (WoodenLog<7914e3d0>, 1, 500) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:24:51] 76561198036774377: Spawned Entity Wooden log (WoodenLog<7915e920>, 1, 500) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:00] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<79176680>, 10, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:00] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<9b21aac0>, 10, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:05] 76561198036774377: Spawned Entity Nails (Nail<6b182710>, 70, 80) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:06] 76561198036774377: Spawned Entity Nails (Nail<709994a0>, 70, 80) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:11] 76561198036774377: Spawned Entity Clawhammer (Clawhammer_mung<80b32050>, -1, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:16] 76561198036774377: Spawned Entity Shovel (Shovel<73cc0440>, -1, 200) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:24] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<73c917a0>, 1, 400) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:24] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<80e7c8a0>, 1, 400) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:25] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<80e98590>, 1, 400) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:25] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<78a016a0>, 1, 400) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:32] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<789dcc70>, 1, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:32] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<cccf0060>, 1, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:32] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<729bf6d0>, 1, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:25:32] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<7f18d260>, 1, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:26:07] 76561198036774377: Spawned Entity Plank (WoodenPlank<62909030>, 10, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:26:07] 76561198036774377: Spawned Entity Plank (WoodenPlank<6d72c920>, 10, 100) at <461.281769, 421.771118, 11132.856445>
[COT 2021-03-13 21:27:20] 76561198036774377: Entered the Free Camera
[COT 2021-03-13 21:27:23] 76561198036774377: Left the Free Camera
[COT 2021-03-13 21:27:45] 76561198036774377: Entered the Free Camera
[COT 2021-03-13 21:29:57] 76561198036774377: Spawned Entity Sarg (TWP_Coffin<78b0e980>, -1, 8000) at <461.103912, 421.731171, 11133.558594>
[COT 2021-03-13 21:30:01] 76561198036774377: Left the Free Camera
[COT 2021-03-13 21:31:04] 76561198036774377: Spawned Entity Geister Rucksack (CoyoteBag_ColorBase<7d8d4f10>, -1, 300) at <459.868652, 421.731171, 11130.076172>
[COT 2021-03-13 21:31:06] 76561198036774377: Spawned Entity Geister Rucksack (CoyoteBag_ColorBase<7d8d6500>, -1, 300) at <459.786926, 421.731171, 11130.576172>
[COT 2021-03-13 21:31:08] 76561198036774377: Spawned Entity Geister Rucksack (CoyoteBag_ColorBase<69023e70>, -1, 300) at <458.759857, 421.731171, 11129.868164>
[COT 2021-03-13 21:31:59] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<7ef885d0>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:31:59] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<7ef84400>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:00] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<5bccfa40>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:00] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<75e82b60>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:00] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<7ec40970>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:01] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<6d788d10>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:01] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<6247b470>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:01] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<6248c300>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:02] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<62473f70>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:02] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<6d166290>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:03] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<527e1370>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:03] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<7d8eb560>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:15] 76561198036774377: Spawned Entity HoneyBadgerGold (M4A1_Base<e8c5310>, -1, 200) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:16] 76561198036774377: Spawned Entity HoneyBadgerGold (M4A1_Base<e8c5ba0>, -1, 200) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:16] 76561198036774377: Spawned Entity HoneyBadgerGold (M4A1_Base<e8c2840>, -1, 200) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:29] 76561198036774377: Spawned Entity Optic_Redcross (ReflexOptic<e45a8c60>, -1, 30) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:29] 76561198036774377: Spawned Entity Optic_Redcross (ReflexOptic<e45aeeb0>, -1, 30) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:32:29] 76561198036774377: Spawned Entity Optic_Redcross (ReflexOptic<e45a93f0>, -1, 30) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:47] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe27be20>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:47] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe27cc40>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:47] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe2804c0>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:48] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe280bd0>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:48] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe27d350>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:48] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe27fdb0>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:48] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe2812e0>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:48] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe2819f0>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:49] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe282100>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:53] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe282f20>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:54] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe283630>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:33:54] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<fe283d40>, 500, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:20] 76561198036774377: Spawned Entity SP1Vektor (FNX45_Base<e8c3960>, -1, 150) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:20] 76561198036774377: Spawned Entity SP1Vektor (FNX45_Base<e8cdc10>, -1, 150) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:21] 76561198036774377: Spawned Entity SP1Vektor (FNX45_Base<e8ca020>, -1, 150) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:26] 76561198036774377: Spawned Entity SP1Vektor_mag_15Rnd (Mag_FNX45_15Rnd<78964f20>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:26] 76561198036774377: Spawned Entity SP1Vektor_mag_15Rnd (Mag_FNX45_15Rnd<81313730>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:26] 76561198036774377: Spawned Entity SP1Vektor_mag_15Rnd (Mag_FNX45_15Rnd<7addad40>, 1, 100) at <459.243286, 421.771118, 11131.274414>
[COT 2021-03-13 21:35:27] 76561198036774377: Spawned Entity SP1Vektor_mag_15Rnd (Mag_FNX45_15Rnd<7add3f90>, 1, 100) at <459.243286, 421.771118, 11131.274414>
