[COT 2021-03-19 19:40:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 19:40:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 19:40:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 19:40:50] 76561198036774377: Teleported to position <3712.828125, 400.185547, 6025.111816>
[COT 2021-03-19 20:02:35] 76561198036774377: Entered the Free Camera
[COT 2021-03-19 20:02:36] 76561198036774377: Left the Free Camera
[COT 2021-03-19 21:24:12] 76561198036774377: Teleported to position <10329.604492, 5.566497, 1657.727051>
[COT 2021-03-19 21:24:47] 76561198036774377: Entered the Free Camera
[COT 2021-03-19 21:24:57] 76561198036774377: Left the Free Camera
[COT 2021-03-19 21:25:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 21:25:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 21:25:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 21:25:29] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 21:25:30] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 21:26:53] 76561198036774377: Spawned Entity Tier 3 Wall Kit (BBP_T3_WallKit<9f71f670>, -1, 100) at <10398.654297, 6.178845, 1684.978027>
[COT 2021-03-19 21:27:49] 76561198036774377: Spawned Entity Wooden log (WoodenLog<9f71e140>, 1, 500) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:27:49] 76561198036774377: Spawned Entity Wooden log (WoodenLog<9f71b6e0>, 1, 500) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:27:49] 76561198036774377: Spawned Entity Wooden log (WoodenLog<9f7219c0>, 1, 500) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:27:49] 76561198036774377: Spawned Entity Wooden log (WoodenLog<9f71e850>, 1, 500) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:27:54] 76561198036774377: Spawned Entity Plank (WoodenPlank<9f71ef60>, 10, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:27:55] 76561198036774377: Spawned Entity Plank (WoodenPlank<9f723600>, 10, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:02] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<9f720ba0>, 10, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:02] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<9f723d10>, 10, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:07] 76561198036774377: Spawned Entity Nails (Nail<9f727590>, 70, 80) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:12] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<9f724b30>, 1, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:12] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<9f726770>, 1, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:13] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<9f724420>, 1, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:13] 76561198036774377: Spawned Entity Mortar Mix (BBP_Mortar_Mix<9f725240>, 1, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:19] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<9f726060>, 1, 400) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:19] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<9f728ac0>, 1, 400) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:19] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<9f726e80>, 1, 400) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:19] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<9f7220d0>, 1, 400) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:25] 76561198036774377: Spawned Entity Clawhammer (Clawhammer_mung<9f7212b0>, -1, 100) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:28:32] 76561198036774377: Spawned Entity Shovel (Shovel<9f7291d0>, -1, 200) at <10400.131836, 6.178796, 1687.121216>
[COT 2021-03-19 21:29:27] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 21:29:43] 76561198036774377: Spawned Entity Jungle Boots (JungleBoots_Black<e9643ca0>, -1, 90) at <10400.131836, 6.178794, 1687.121216>
