[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:07:15] 76561198036774377: Spawned Entity Tier 3 Wall Kit (BBP_T3_WallKit<806f55f0>, -1, 100) at <10396.031250, 6.178833, 1680.969849>
[COT 2021-03-19 22:07:16] 76561198036774377: Spawned Entity Tier 3 Wall Kit (BBP_T3_WallKit<806f5d00>, -1, 100) at <10396.031250, 6.178833, 1680.969849>
[COT 2021-03-19 22:07:53] 76561198036774377: Entered the Free Camera
[COT 2021-03-19 22:08:11] 76561198036774377: Left the Free Camera
[COT 2021-03-19 22:09:38] 76561198036774377: Spawned Entity Plank (WoodenPlank<806d5260>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:39] 76561198036774377: Spawned Entity Plank (WoodenPlank<806d2f10>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:39] 76561198036774377: Spawned Entity Plank (WoodenPlank<806d83d0>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:39] 76561198036774377: Spawned Entity Plank (WoodenPlank<806d2800>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:44] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806d3d30>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:45] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806d3620>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:45] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806d8ae0>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:45] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806d91f0>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:46] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806d4b50>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:46] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806d19e0>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:46] 76561198036774377: Spawned Entity Wooden log (WoodenLog<806dc360>, 1, 500) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:58] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<806dca70>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:58] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<806dbc50>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:59] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<806e02f0>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:09:59] 76561198036774377: Spawned Entity Sheet Metal (MetalPlate<806e1f30>, 10, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:08] 76561198036774377: Spawned Entity Nails (Nail<806da720>, 70, 80) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:08] 76561198036774377: Spawned Entity Nails (Nail<806e2640>, 70, 80) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:19] 76561198036774377: Spawned Entity Clawhammer (Clawhammer_mung<806e2d50>, -1, 100) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:28] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<eee1b880>, 1, 400) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:29] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<eee28c60>, 1, 400) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:29] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<da4e2610>, 1, 400) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:29] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<da4ecf90>, 1, 400) at <10395.203125, 6.367689, 1680.503052>
[COT 2021-03-19 22:10:29] 76561198036774377: Spawned Entity Concrete Bricks (BBP_Concrete_Brick_Pile<da4ca8b0>, 1, 400) at <10395.203125, 6.367689, 1680.503052>
