[COT 2021-03-20 04:04:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:30] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:36] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:05:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<e7b383f0>, -1, 100) at <10399.155273, 6.052351, 1685.136719>
[COT 2021-03-20 04:05:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<e7b54770>, -1, 100) at <10399.155273, 6.052351, 1685.136719>
[COT 2021-03-20 04:05:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<e7b57fe0>, -1, 100) at <10399.155273, 6.052351, 1685.136719>
[COT 2021-03-20 04:05:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<e7b54f80>, -1, 100) at <10399.155273, 6.052351, 1685.136719>
[COT 2021-03-20 04:05:04] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b32330>, -1, 100) at <10398.097656, 6.052351, 1685.021973>
[COT 2021-03-20 04:05:05] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b363b0>, -1, 100) at <10398.097656, 6.052351, 1685.021973>
[COT 2021-03-20 04:05:05] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b31310>, -1, 100) at <10398.097656, 6.052351, 1685.021973>
[COT 2021-03-20 04:05:05] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b39410>, -1, 100) at <10398.097656, 6.052351, 1685.021973>
[COT 2021-03-20 04:05:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b55790>, -1, 100) at <10399.581055, 6.052351, 1684.369995>
[COT 2021-03-20 04:05:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b51f20>, -1, 100) at <10399.663086, 6.453167, 1684.066162>
[COT 2021-03-20 04:05:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b34370>, -1, 100) at <10399.744141, 6.853758, 1683.762329>
[COT 2021-03-20 04:05:08] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<e7b34b80>, -1, 100) at <10399.826172, 7.254106, 1683.458496>
[COT 2021-03-20 04:05:23] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47b9a60>, -1, 100) at <10379.076172, 6.143842, 1656.517822>
[COT 2021-03-20 04:05:23] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47b9250>, -1, 100) at <10379.076172, 6.143842, 1656.517822>
[COT 2021-03-20 04:05:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47b6a00>, -1, 100) at <10379.076172, 6.143842, 1656.517822>
[COT 2021-03-20 04:05:24] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47b7a20>, -1, 100) at <10379.076172, 6.143842, 1656.517822>
[COT 2021-03-20 04:05:26] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47bc2b0>, -1, 100) at <10373.357422, 7.167408, 1660.162720>
[COT 2021-03-20 04:05:27] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47ba270>, -1, 100) at <10373.357422, 7.167408, 1660.162720>
[COT 2021-03-20 04:05:27] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47bdae0>, -1, 100) at <10373.357422, 7.167408, 1660.162720>
[COT 2021-03-20 04:05:27] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47be2f0>, -1, 100) at <10373.357422, 7.167408, 1660.162720>
[COT 2021-03-20 04:05:27] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47baa80>, -1, 100) at <10373.357422, 7.167408, 1660.162720>
[COT 2021-03-20 04:05:29] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47bf310>, -1, 100) at <10369.628906, 7.167408, 1656.532715>
[COT 2021-03-20 04:05:29] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47bfb20>, -1, 100) at <10369.628906, 7.167408, 1656.532715>
[COT 2021-03-20 04:05:29] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47b8230>, -1, 100) at <10369.628906, 7.167408, 1656.532715>
[COT 2021-03-20 04:05:30] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47c0330>, -1, 100) at <10369.628906, 7.167408, 1656.532715>
[COT 2021-03-20 04:05:30] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<f47b8a40>, -1, 100) at <10369.628906, 7.167408, 1656.532715>
[COT 2021-03-20 04:05:45] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47c2370>, -1, 100) at <10367.423828, 8.734455, 1668.753540>
[COT 2021-03-20 04:05:45] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47c6c00>, -1, 100) at <10367.423828, 8.734455, 1668.753540>
[COT 2021-03-20 04:05:45] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47c0b40>, -1, 100) at <10367.423828, 8.734455, 1668.753540>
[COT 2021-03-20 04:05:49] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47c2b80>, -1, 100) at <10367.423828, 8.734455, 1668.753540>
[COT 2021-03-20 04:05:49] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<f47bb290>, -1, 100) at <10367.423828, 8.734455, 1668.753540>
[COT 2021-03-20 04:06:42] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<f736a410>, -1, 30) at <10367.937500, 6.977651, 1664.432983>
