[COT 2021-03-21 16:02:49] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 16:02:49] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 16:02:49] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 16:02:58] 76561198036774377: Teleported to position <3717.833252, 401.384766, 6014.668457>
[COT 2021-03-21 16:14:25] 76561198036774377: Teleported [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=] to <3702.717285, 402.382050, 5992.371582>
[COT 2021-03-21 16:14:33] 76561198036774377: Teleported [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=] to <3702.717285, 402.382050, 5992.371582>
[COT 2021-03-21 16:14:59] 76561198036774377: Entered the Free Camera
[COT 2021-03-21 16:15:42] 76561198036774377: Teleported [guid=A-RdRCt4CrIbKl3h1Xtc0Y-KIVBOenBWHwCDHR_uVLg=] to <3688.074707, 404.875244, 5990.198730>
[COT 2021-03-21 16:17:44] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 16:17:44] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 16:17:44] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 19:16:06] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 19:16:06] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 19:16:06] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-21 19:16:23] 76561198036774377: Teleported to position <3805.674316, 240.787292, 14323.601563>
[COT 2021-03-21 19:16:28] 76561198036774377: Left the Free Camera
[COT 2021-03-21 19:16:51] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Green<eec23fa0>, -1, 600) at <3805.674316, 240.806747, 14323.601563>
[COT 2021-03-21 19:17:30] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f10d95e0>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:30] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<f10d4120>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:31] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<f10ce550>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:31] 76561198036774377: Spawned Entity Brick of Blue God Weed (CP_CannabisBrickBlue<dd767b40>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:33] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<d82d7290>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:33] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<f5540e60>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:34] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<c3415e40>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:34] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<e80189d0>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:35] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<e58cf760>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:35] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<e58c2380>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:36] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<f5900350>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:36] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<f58fa780>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:38] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<f59026a0>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
[COT 2021-03-21 19:17:38] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<f591b220>, -1, 30) at <3807.157959, 241.111877, 14324.633789>
