[COT 2021-03-22 19:06:10] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-22 19:06:10] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-22 19:06:10] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-22 19:06:34] 76561198036774377: Teleported to position <310.727905, 98.299095, 3000.695801>
[COT 2021-03-22 19:06:59] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Orange<65303bd0>, -1, 600) at <305.975708, 98.669365, 3006.292236>
[COT 2021-03-22 19:07:36] 76561198036774377: Spawned Entity Bandage (BandageDressing<6be1c800>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:36] 76561198036774377: Spawned Entity Bandage (BandageDressing<764ffad0>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:36] 76561198036774377: Spawned Entity Bandage (BandageDressing<7650eaf0>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:36] 76561198036774377: Spawned Entity Bandage (BandageDressing<76516a10>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:36] 76561198036774377: Spawned Entity Bandage (BandageDressing<7774ce30>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:36] 76561198036774377: Spawned Entity Bandage (BandageDressing<7774ea70>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:37] 76561198036774377: Spawned Entity Bandage (BandageDressing<a361e530>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:37] 76561198036774377: Spawned Entity Bandage (BandageDressing<4d82feb0>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:37] 76561198036774377: Spawned Entity Bandage (BandageDressing<4d833020>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:37] 76561198036774377: Spawned Entity Bandage (BandageDressing<74e17be0>, 4, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:47] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<5285ed80>, 1, 100) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:47] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<5283c6a0>, 1, 100) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:47] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<66f26b50>, 1, 100) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:47] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<71c0b8c0>, 1, 100) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:48] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<adffd30>, 1, 100) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:53] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<4a617290>, 12, 30) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:53] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<4a6130c0>, 12, 30) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:53] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<4a6079f0>, 12, 30) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:53] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<6c21cc40>, 12, 30) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:07:54] 76561198036774377: Spawned Entity Tetracycline Pills (TetracyclineAntibiotics<6c21dae0>, 12, 30) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:08:02] 76561198036774377: Spawned Entity Multivitamin Pills (VitaminBottle<6c2398f0>, 50, 50) at <310.834381, 99.200722, 3007.005127>
[COT 2021-03-22 19:08:03] 76561198036774377: Spawned Entity Multivitamin Pills (VitaminBottle<469bc8a0>, 50, 50) at <310.834381, 99.200722, 3007.005127>
