[COT 2021-03-29 22:03:24] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:24] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:24] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:28] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:41] 76561198036774377: Teleported to position <429.244751, 421.685669, 11189.668945>
[COT 2021-03-29 22:04:34] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:36] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:06:38] 76561198036774377: Teleported to position <3728.728271, 401.871948, 6007.398438>
[COT 2021-03-29 22:07:51] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<5d943f40>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:51] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<41a7d430>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:51] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<41a7dcc0>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:52] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<41a85d30>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:52] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<41a66c90>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:52] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<60fe0d50>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:53] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<bb26e7f0>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:07:53] 76561198036774377: Spawned Entity PPSKN42 (PPSKN_Base<288f2670>, -1, 300) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:08:43] 76561198036774377: Spawned Entity 75rd KA-M Drum Mag (Mag_AKM_Drum75Rnd<e6bdc970>, 1, 100) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:08:43] 76561198036774377: Spawned Entity 75rd KA-M Drum Mag (Mag_AKM_Drum75Rnd<e6bf2870>, 1, 100) at <3698.703369, 402.381195, 5994.576172>
[COT 2021-03-29 22:08:44] 76561198036774377: Spawned Entity 75rd KA-M Drum Mag (Mag_AKM_Drum75Rnd<675cc320>, 1, 100) at <3698.703369, 402.381195, 5994.576172>
