[COT 2021-04-05 18:03:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:14] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:28] 76561198036774377: Teleported to position <7700.950195, 198.561523, 5948.005371>
[COT 2021-04-05 18:04:55] 76561198036774377: Teleported to position <12585.509766, 6.808196, 3688.137695>
[COT 2021-04-05 18:05:06] 76561198036774377: Entered the Free Camera
[COT 2021-04-05 18:05:10] 76561198036774377: Left the Free Camera
[COT 2021-04-05 18:05:32] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Green<4e40fce0>, -1, 600) at <12552.095703, 4.652867, 3664.027588>
[COT 2021-04-05 18:07:43] 76561198036774377: Spawned Entity Camo Net (CamoNet<cbf68780>, -1, 120) at <12555.688477, 4.486446, 3658.596436>
[COT 2021-04-05 18:08:10] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<c9027cb0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:10] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<c3ac6950>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:10] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<dd99f490>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:10] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<e7cca980>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:10] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<f03b33c0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:11] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<f7d32aa0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:11] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<f80cc190>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:11] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<e76b7270>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:08:11] 76561198036774377: Spawned Entity AmmoBox_3006_20Rnd (TWP_AmmoBox_3006_20Rnd<ed597530>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
