[COT 2021-04-11 02:53:15] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:30] 76561198036774377: Teleported to position <12101.432617, 136.344116, 12370.115234>
[COT 2021-04-11 02:53:34] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:55:29] 76561198036774377: Teleported to position <5027.248047, 323.636658, 10578.878906>
[COT 2021-04-11 02:55:33] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:55:38] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:58:17] 76561198036774377: Teleported to position <2729.117920, 209.693573, 5462.570801>
[COT 2021-04-11 02:58:21] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:58:33] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:59:05] 76561198036774377: Teleported to position <3747.796387, 403.124939, 5976.557129>
[COT 2021-04-11 02:59:08] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:01:45] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:01:48] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:12:08] 76561198036774377: Teleported to position <5388.281738, 309.796509, 5713.710938>
[COT 2021-04-11 03:12:35] 76561198036774377: Teleported to position <1998.493164, 236.876190, 7163.902344>
[COT 2021-04-11 03:12:51] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:13:39] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:13:53] 76561198036774377: Spawned Entity Tier 2 Wall Kit (BBP_T2_WallKit<e5189be0>, -1, 100) at <2031.251953, 257.030945, 7312.516113>
[COT 2021-04-11 03:14:00] 76561198036774377: Spawned Entity Tier 2 Gate Kit (BBP_T2_GateKit<e5187890>, -1, 100) at <2031.251953, 257.030945, 7312.516113>
[COT 2021-04-11 03:14:05] 76561198036774377: Spawned Entity CodeLock (CodeLock<edfd9460>, -1, 1500) at <2031.251953, 257.030945, 7312.516113>
[COT 2021-04-11 03:14:16] 76561198036774377: Spawned Entity ADMIN HATCHET (admin_Hatchet<e88dcad0>, -1, 150) at <2031.251953, 257.030945, 7312.516113>
[COT 2021-04-11 03:15:15] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:15:30] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:15:53] 76561198036774377: Spawned Entity Hardigg (hardigg_Mung<f525ff00>, -1, 1.21575e+09) at <2030.228638, 256.994263, 7311.810547>
[COT 2021-04-11 03:15:53] 76561198036774377: Spawned Entity Hardigg (hardigg_Mung<f525aa40>, -1, 1.21575e+09) at <2030.861084, 257.827393, 7312.036133>
[COT 2021-04-11 03:15:54] 76561198036774377: Spawned Entity Hardigg (hardigg_Mung<f525b860>, -1, 1.21575e+09) at <2031.499756, 258.293243, 7312.431152>
[COT 2021-04-11 03:17:04] 76561198036774377: Spawned Entity G36x_mag_40Rnd (Mag_AKM_30Rnd<f02aa2a0>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:05] 76561198036774377: Spawned Entity G36x_mag_40Rnd (Mag_AKM_30Rnd<f02aa9f0>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:05] 76561198036774377: Spawned Entity G36x_mag_40Rnd (Mag_AKM_30Rnd<f02ab890>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:05] 76561198036774377: Spawned Entity G36x_mag_40Rnd (Mag_AKM_30Rnd<f02af310>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:05] 76561198036774377: Spawned Entity G36x_mag_40Rnd (Mag_AKM_30Rnd<f02afa60>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:06] 76561198036774377: Spawned Entity G36x_mag_40Rnd (Mag_AKM_30Rnd<f02b60c0>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:08] 76561198036774377: Spawned Entity G36c_mag_30Rnd (Mag_AKM_30Rnd<ee6f0df0>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:08] 76561198036774377: Spawned Entity G36c_mag_30Rnd (Mag_AKM_30Rnd<ee6ebd80>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:08] 76561198036774377: Spawned Entity G36c_mag_30Rnd (Mag_AKM_30Rnd<ee6f1540>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:09] 76561198036774377: Spawned Entity G36c_mag_30Rnd (Mag_AKM_30Rnd<ee6f23e0>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
[COT 2021-04-11 03:17:09] 76561198036774377: Spawned Entity G36c_mag_30Rnd (Mag_AKM_30Rnd<ee6ec4d0>, 1, 100) at <2031.574585, 257.027802, 7313.569824>
