[COT 2021-04-11 22:15:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:41] 76561198036774377: Teleported to position <455.112701, 421.818268, 11200.429688>
[COT 2021-04-11 22:16:25] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cde92150>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:25] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cdea1110>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:25] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cdea3350>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:25] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cde8e560>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:27] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cdea2230>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:27] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cdea2ac0>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:27] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cde9f760>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:28] 76561198036774377: Spawned Entity X-2 Pneu-Dart Gun (DZUDartGun_Base<cdea19a0>, -1, 200) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:31] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c9cc0fc0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:32] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c9cc1710>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:32] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b76070>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:32] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7b830>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:32] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b79af0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:32] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b78500>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:32] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7a990>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:33] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7b0e0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:33] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7bf80>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:33] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b77db0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:33] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b76f10>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:33] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b767c0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:33] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7c6d0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:34] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b77660>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:34] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7a240>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:34] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7ce20>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:34] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7d570>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:34] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7dcc0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:34] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7e410>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:35] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7eb60>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:35] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7f2b0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:35] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b793a0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:35] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b7fa00>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:35] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b78c50>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:35] 76561198036774377: Spawned Entity X-2 Pneu-Dart Chamber (Mag_FNX45_15Rnd<c8b81e90>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:37] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b867b0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:37] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b83480>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:37] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b83bd0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:38] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b84320>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:38] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b86f00>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:38] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b84a70>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:38] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b851c0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:38] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b85910>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:38] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b80150>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:39] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b81740>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:39] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b87650>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:39] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b808a0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:39] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b87da0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:16:39] 76561198036774377: Spawned Entity Pneu-Dart Type C (Ammunition_Base<c8b825e0>, 1, 100) at <455.204773, 422.889069, 11169.789063>
[COT 2021-04-11 22:18:42] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 22:22:18] 76561198036774377: Left the Free Camera
[COT 2021-04-11 22:23:40] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdeb89d0>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:41] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdeb3cc0>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:41] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdeb8140>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:41] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdebac10>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:41] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdeb9260>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:42] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdebb4a0>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:42] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdeb4550>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:23:42] 76561198036774377: Spawned Entity Airsoft AK (AKM_Base<cdeb9af0>, -1, 300) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:08] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c63f5990>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:08] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c63f2db0>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:08] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c63faa00>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:08] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c63f9410>, 1, 100) at <456.050995, 422.889069, 11169.777344>
