[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:08:56] 76561198036774377: Left the Free Camera
[COT 2021-04-17 14:09:56] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db4f60>, -1, 50) at <449.597168, 422.849091, 11172.216797>
[COT 2021-04-17 14:09:57] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db56b0>, -1, 50) at <449.597168, 422.849091, 11172.216797>
[COT 2021-04-17 14:09:59] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43dae900>, -1, 50) at <449.832825, 422.849091, 11172.179688>
[COT 2021-04-17 14:10:00] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db6ca0>, -1, 50) at <449.832825, 422.849091, 11172.179688>
[COT 2021-04-17 14:10:00] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db5e00>, -1, 50) at <449.832825, 422.849091, 11172.179688>
[COT 2021-04-17 14:10:01] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db9fd0>, -1, 50) at <449.832825, 422.849091, 11172.179688>
[COT 2021-04-17 14:10:06] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43dbcbb0>, -1, 50) at <446.495819, 422.849091, 11166.781250>
[COT 2021-04-17 14:10:06] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db73f0>, -1, 50) at <446.495819, 422.849091, 11166.781250>
[COT 2021-04-17 14:10:06] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43dbb5c0>, -1, 50) at <446.495819, 422.849091, 11166.781250>
[COT 2021-04-17 14:10:07] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43dbbd10>, -1, 50) at <446.495819, 422.849091, 11166.781250>
[COT 2021-04-17 14:10:07] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43dbc460>, -1, 50) at <446.495819, 422.849091, 11166.781250>
[COT 2021-04-17 14:10:08] 76561198036774377: Spawned Entity 6B45 Ratnik Level 3 (Clothing<43db7b40>, -1, 50) at <446.495819, 422.849091, 11166.781250>
[COT 2021-04-17 14:10:33] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<43d9b5e0>, -1, 100) at <446.029480, 422.849091, 11166.916992>
[COT 2021-04-17 14:10:33] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<43d9ae90>, -1, 100) at <446.029480, 422.849091, 11166.916992>
[COT 2021-04-17 14:10:33] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<43d9f7b0>, -1, 100) at <446.029480, 422.849091, 11166.916992>
[COT 2021-04-17 14:10:33] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<43d9e910>, -1, 100) at <446.029480, 422.849091, 11166.916992>
[COT 2021-04-17 14:10:34] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<43da2390>, -1, 100) at <446.029480, 422.849091, 11166.916992>
[COT 2021-04-17 14:10:34] 76561198036774377: Spawned Entity MVS Altyn Visor - OD (MVS_Altyn_Visor<43da3230>, -1, 100) at <446.029480, 422.849091, 11166.916992>
[COT 2021-04-17 14:10:45] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<7b27c7d0>, -1, 100) at <445.809631, 422.849091, 11167.098633>
[COT 2021-04-17 14:10:45] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<7b2826e0>, -1, 100) at <445.809631, 422.849091, 11167.098633>
[COT 2021-04-17 14:10:45] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<7b27ec60>, -1, 100) at <445.809631, 422.849091, 11167.098633>
[COT 2021-04-17 14:10:45] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<7b281f90>, -1, 100) at <445.809631, 422.849091, 11167.098633>
[COT 2021-04-17 14:10:45] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<7b27cf20>, -1, 100) at <445.809631, 422.849091, 11167.098633>
[COT 2021-04-17 14:10:46] 76561198036774377: Spawned Entity MVS Altyn Helmet - OD (Mich2001Helmet<7b280250>, -1, 100) at <445.809631, 422.849091, 11167.098633>
[COT 2021-04-17 14:10:50] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b2885f0>, -1, 100) at <449.130585, 422.849091, 11172.026367>
[COT 2021-04-17 14:10:50] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b288d40>, -1, 100) at <449.130585, 422.849091, 11172.026367>
[COT 2021-04-17 14:10:50] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b289490>, -1, 100) at <449.130585, 422.849091, 11172.026367>
[COT 2021-04-17 14:10:51] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b2868b0>, -1, 100) at <449.130585, 422.849091, 11172.026367>
[COT 2021-04-17 14:10:51] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b282e30>, -1, 100) at <449.130585, 422.849091, 11172.026367>
[COT 2021-04-17 14:10:51] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b28a330>, -1, 100) at <449.130585, 422.849091, 11172.026367>
[COT 2021-04-17 14:10:51] 76561198036774377: Spawned Entity MVS Altyn Helmet - Black (Mich2001Helmet<7b286160>, -1, 100) at <449.130585, 422.849091, 11172.026367>
