Creation Time: 2021_3_12-18-1-34
18-1-34 | [INFO] TZManager - Started !
18-1-34 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
18-1-34 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
18-1-34 | [INFO] [LOOTSYSTEM]: Creature equal to 0!
18-1-34 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
18-1-34 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
18-1-34 | [INFO] 1
18-1-34 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
18-1-34 | [INFO] AKM
18-1-34 | [INFO] Mag_AKM_30Rnd
18-1-34 | [INFO] PSO1Optic
18-1-34 | [INFO] Mag_AKM_Drum75Rnd
18-1-34 | [INFO] AK_Suppressor
18-1-34 | [INFO] AK_PlasticHndgrd
18-1-34 | [INFO] AK_RailHndgrd_Black
18-1-34 | [INFO] AK_Bayonet
18-1-34 | [INFO] M4A1
18-1-34 | [INFO] M4_CarryHandleOptic
18-1-34 | [INFO] M4_CQBBttstck
18-1-34 | [INFO] M4_MPBttstck
18-1-34 | [INFO] M4_RISHndgrd
18-1-34 | [INFO] ToxicCure
18-1-34 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-1-34 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-1-34 | [INFO] 1
18-1-34 | [INFO] [LOOTSYSTEM]: ToxicChestSpawned: CrateName: Army1- Position: X:1896.77 Y:448.958 Z:13707.8
18-1-34 | [INFO] AmmoBox_545x39_20Rnd
18-1-34 | [INFO] AmmoBox_556x45_20Rnd
18-1-34 | [INFO] AmmoBox_762x39_20Rnd
18-1-34 | [INFO] AmmoBox_762x54_20Rnd
18-1-34 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
18-1-34 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
18-1-34 | [INFO] TZManager - Started !
18-1-34 | [INFO] TZToxicZone - Started !
18-1-34 | [INFO] DynToxicZone Spawned at X:6572 Y:5000
18-1-34 | [INFO] TZDynToxicZone - Started ! : ID:1
18-1-34 | [INFO] ZelenToNovyRestartMZ:12758
18-1-34 | [INFO] DynTZ.StartX<6572.000000, 276.537415, 5000.000000>
18-6-6 | [INFO] DynToxicZone - X: 6692 Y: 7852.71 Radius: 170
18-7-6 | [INFO] DynToxicZone - X: 6722 Y: 7871.07 Radius: 170
