Creation Time: 2021_4_17-12-2-0
12-2-0 | [INFO] TZToxicZoneCore - Started ! => Loading config...
12-2-0 | [INFO] Checking if old config...
12-2-0 | [INFO] Current config loading...
12-2-0 | [INFO] TZToxicZoneServer - Started
12-2-0 | [INFO] MVTZ Count:1
12-3-24 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
12-4-38 | [INFO] m_MovingToxicZoneLocations count:0
12-4-38 | [INFO] m_MovingToxicZoneLocations count:0
12-4-39 | [INFO] m_MovingToxicZoneLocations count:0
12-4-39 | [INFO] m_MovingToxicZoneLocations count:0
12-5-19 | [INFO] m_MovingToxicZoneLocations count:0
12-5-22 | [INFO] m_MovingToxicZoneLocations count:0
12-5-22 | [INFO] m_MovingToxicZoneLocations count:0
12-7-11 | [INFO] m_MovingToxicZoneLocations count:0
12-8-35 | [INFO] m_MovingToxicZoneLocations count:0
12-10-14 | [INFO] m_MovingToxicZoneLocations count:0
12-13-27 | [INFO] m_MovingToxicZoneLocations count:0
12-14-39 | [INFO] m_MovingToxicZoneLocations count:0
12-28-6 | [INFO] m_MovingToxicZoneLocations count:0
12-37-56 | [INFO] m_MovingToxicZoneLocations count:0
12-50-45 | [INFO] m_MovingToxicZoneLocations count:0
12-58-48 | [INFO] m_MovingToxicZoneLocations count:0
