
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader																							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Meat & Veg																						// Category Name
		CaninaBerry,																	*,		10,			8	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,																	*,		10,			8	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,																			*,		10,			8	// Buyvalue -1 means it can not be bought
		Kiwi,																			*,		10,			8	// Sellvalue -1 means it can not be selled
		Apple,																			*,		10,			8
		Pear,																			*,		10,			8
		Orange,																			*,		10,			8
		Banana,																			*,		10,			8
		Tomato,																			*,		10,			8
		Potato,																			*,		10,			8
		GreenBellPepper,																*,		10,			8
		Zucchini,																		*,		30,			10
		Pumpkin,																		*,		80,			60
		AgaricusMushroom,																*,		20,			10
		AmanitaMushroom,																*,		20,			10
		LactariusMushroom,																*,		20,			10
		MacrolepiotaMushroom,															*,		20,			10
		PsilocybeMushroom,																*,		20,			10
		AuriculariaMushroom,															*,		20,			10
		BoletusMushroom,																*,		20,			10
		PleurotusMushroom,																*,		20,			10
		ChickenBreastMeat,																S,		200,		50
		GoatSteakMeat,																	S,		300,		50
		SheepSteakMeat,																	S,		300,		50
		PigSteakMeat,																	S,		400,		100
		BoarSteakMeat,																	S,		400,		100
		WolfSteakMeat,																	S,		400,		100
		DeerSteakMeat,																	S,		500,		100
		CowSteakMeat,																	S,		500,		200	
		Sardines,																		S,		700,		200
		Carp,																			S,		1000,		300
		Mackerel,																		S,		1000,		300

