Creation Time: 2021_5_2-18-50-41
18-50-41 | [INFO] SafeZoneCore - Started !
18-50-41 | [INFO] TraderPlus file exist ! loading...
18-50-41 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
18-50-41 | [INFO] TraderPlus file exist ! loading...
18-50-41 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
18-50-41 | [INFO] TraderPlus file exist ! loading...
18-50-41 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
18-50-41 | [INFO] CheckForSpacesToRemove - Started
18-50-41 | [INFO] CheckForSpacesToRemove - Ended
18-50-41 | [INFO] TraderPlus file exist ! loading...
18-50-41 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
18-50-41 | [INFO] TraderPlusServer - Started
18-50-41 | [INFO] TraderPlusBankingCore - Started !
18-50-41 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
18-50-41 | [INFO] TraderPlusBankingServer - Started
18-50-41 | [INFO] CarLockCore - Started !
18-50-41 | [INFO] CarLockServer - Started
18-51-3 | [INFO] ID_count: 5
18-51-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_0.json
18-51-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_1.json
18-51-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_2.json
18-51-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_3.json
18-51-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\TraderPlusStock_ID_4.json
18-51-3 | [INFO] obj created: bldr_sign_rail_platformend
18-51-3 | [INFO] TraderBuilding created and added!: 
18-51-3 | [INFO] obj created: bldr_sign_rail_platformend
18-51-3 | [INFO] TraderBuilding created and added!: 
18-51-3 | [INFO] obj created: bldr_sign_rail_platformend
18-51-3 | [INFO] TraderBuilding created and added!: 
18-51-3 | [INFO] obj created: bldr_sign_rail_platformend
18-51-3 | [INFO] TraderBuilding created and added!: 
18-55-4 | [INFO] 76561198030377081
18-55-4 | [INFO] false
18-55-4 | [INFO] 76561198016874355
18-55-4 | [INFO] false
18-56-37 | [INFO] 76561198138525305
18-56-37 | [INFO] false
18-56-53 | [INFO] 76561198036774377
18-56-53 | [INFO] false
18-57-17 | [INFO] GetSafeStatut | Playername:BnYrB TradZoneName:Trader Statut:true
